"runtime_path","source_path","source_pack","semantic_candidate","transformation","license","creator","license_evidence","bytes","source_sha256","runtime_sha256"
"desert-shooter/player-shot.ogg","2D assets/Desert Shooter Pack/Sounds/shoot-a.ogg","Desert Shooter Pack 1.0","Player shot","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/Desert Shooter Pack/License.txt","5753","1d7ad04fc740ec9b41164b7733b9d7eaecc151bf8ff1c391586e4c0b90a64a93","1d7ad04fc740ec9b41164b7733b9d7eaecc151bf8ff1c391586e4c0b90a64a93"
"new-platformer/enemy-contact-hit.ogg","2D assets/New Platformer Pack/Sounds/sfx_bump.ogg","New Platformer Pack 1.1","Enemy/contact hit","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","5454","165ad7337553e88ca9bc1c267980c090875b3ba0c6f2066387cbd28dfa0ac682","165ad7337553e88ca9bc1c267980c090875b3ba0c6f2066387cbd28dfa0ac682"
"new-platformer/enemy-defeat.ogg","2D assets/New Platformer Pack/Sounds/sfx_disappear.ogg","New Platformer Pack 1.1","Enemy defeat","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","9939","83d034a1bf133745f9772b11f31537d231ae7c3ca8b150468fe5ffff19baabbb","83d034a1bf133745f9772b11f31537d231ae7c3ca8b150468fe5ffff19baabbb"
"new-platformer/player-hurt.ogg","2D assets/New Platformer Pack/Sounds/sfx_hurt.ogg","New Platformer Pack 1.1","Player hurt","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","5804","ee126f78cfd70e665c37d7afe7e1dc0fa84d6b2ab25ce27d797738d54d082ec6","ee126f78cfd70e665c37d7afe7e1dc0fa84d6b2ab25ce27d797738d54d082ec6"
"new-platformer/power-up.ogg","2D assets/New Platformer Pack/Sounds/sfx_magic.ogg","New Platformer Pack 1.1","Power-up","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","9594","c63c0abb1353c633993e1fa1acea68b27ee0119c842b095783b78879727476d5","c63c0abb1353c633993e1fa1acea68b27ee0119c842b095783b78879727476d5"
"new-platformer/platformer-jump.ogg","2D assets/New Platformer Pack/Sounds/sfx_jump.ogg","New Platformer Pack 1.1","Platformer jump","byte-for-byte copy; renamed only","CC0-1.0","Kenney","2D assets/New Platformer Pack/License.txt","5926","7a0e42879c60350c6866976e8f6013943d9cb78a5ff1d126107ae3322566ee8f","7a0e42879c60350c6866976e8f6013943d9cb78a5ff1d126107ae3322566ee8f"
"impact-sounds/paddle-light-rail.ogg","Audio/Impact Sounds/Audio/impactMetal_light_000.ogg","Impact Sounds 1.0","Brickbat paddle / light pinball rail","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","9732","3fd6289d5b23077db8607811f9f80c3a8b113434de08260d0366b24729f5b530","3fd6289d5b23077db8607811f9f80c3a8b113434de08260d0366b24729f5b530"
"impact-sounds/pinball-bumper.ogg","Audio/Impact Sounds/Audio/impactBell_heavy_000.ogg","Impact Sounds 1.0","Pinball bumper","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Impact Sounds/License.txt","15996","d86598c8dc47c9464eb720d6c959abccd7329a3eecc0cfd4ce7935b0b4faaa9f","d86598c8dc47c9464eb720d6c959abccd7329a3eecc0cfd4ce7935b0b4faaa9f"
"retro-sounds-2/brickbat-text-hit.ogg","Audio/Retro Sounds 2/Audio/hit1.ogg","Retro Sounds 2 1.0","Brickbat text hit","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","8254","541c5dc004cecfded76f75fadbd7b2b3ba24bb13a4ee1424e362827a928a8f47","541c5dc004cecfded76f75fadbd7b2b3ba24bb13a4ee1424e362827a928a8f47"
"retro-sounds-2/brickbat-word-break.ogg","Audio/Retro Sounds 2/Audio/explosion1.ogg","Retro Sounds 2 1.0","Brickbat word break","byte-for-byte copy; renamed only","CC0-1.0","Kenney","Audio/Retro Sounds 2/License.txt","23311","3c4587cbd79b514b6f1ed32bbf966710e579eed843226a9c350abed266341b2c","3c4587cbd79b514b6f1ed32bbf966710e579eed843226a9c350abed266341b2c"
